id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,loudness,explicit_mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,72,2020,0.05,0.75,euphoric|uplifting|sunny
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,58,2020,0.80,0.40,dreamy|hazy|focused
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,65,2010,0.15,0.88,aggressive|driving|powerful
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,54,2020,0.85,0.35,dreamy|peaceful|nostalgic
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,80,2020,0.08,0.90,motivating|energetic|driving
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2020,0.92,0.30,dreamy|ethereal|meditative
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,62,2010,0.40,0.45,nostalgic|warm|bittersweet
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,68,2020,0.60,0.72,nostalgic|cinematic|melancholic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,55,2020,0.75,0.38,hazy|productive|calm
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,70,2020,0.12,0.70,euphoric|uplifting|bittersweet
11,Empty Hallways,Blue River,blues,sad,0.45,88,0.28,0.40,0.80,40,2010,0.20,0.48,melancholic|bittersweet|nostalgic
12,Bass Drop Zero,Circuit Rush,edm,energetic,0.95,140,0.72,0.94,0.02,76,2020,0.70,0.95,euphoric|driving|energetic
13,Sunset Highway,Dusty Roads,country,relaxed,0.48,95,0.74,0.62,0.75,63,2010,0.15,0.55,nostalgic|warm|breezy
14,Morning Sonata,Aria Strings,classical,peaceful,0.22,66,0.70,0.30,0.98,50,2000,0.98,0.28,meditative|ethereal|peaceful
15,Flow State,MC Cipher,hip-hop,focused,0.68,92,0.55,0.82,0.12,74,2020,0.10,0.78,productive|motivating|focused
16,Shatter Zone,Iron Veil,metal,aggressive,0.97,168,0.22,0.45,0.04,58,2010,0.25,0.96,aggressive|powerful|intense
17,Velvet Night,Sable James,r&b,romantic,0.55,86,0.76,0.77,0.38,69,2020,0.18,0.62,romantic|warm|sensual
18,Wooden Bridges,Fern & Oak,folk,nostalgic,0.33,104,0.68,0.55,0.88,48,2010,0.35,0.42,nostalgic|bittersweet|warm
